#50
0	15	-1
0	23	1
0	28	-1
0	30	1
0	46	-1
1	2	1
1	3	1
1	14	1
1	46	1
2	10	1
2	11	-1
2	20	1
2	21	1
2	26	1
2	29	1
2	34	1
2	36	1
2	41	1
2	42	1
3	15	1
3	30	1
3	31	-1
3	43	-1
4	5	1
4	15	1
4	26	1
4	40	1
4	42	-1
4	46	1
4	49	1
5	12	1
5	23	-1
5	40	1
6	11	1
6	12	1
6	46	1
7	31	1
7	36	1
7	41	1
8	17	1
8	21	1
8	42	-1
8	44	1
8	49	1
9	11	1
9	14	1
10	24	1
10	36	1
10	41	-1
11	14	1
11	36	1
12	20	1
12	21	1
12	22	1
12	34	-1
12	48	-1
13	22	1
13	23	1
13	34	-1
13	45	1
14	27	1
14	36	1
16	20	-1
16	41	-1
17	49	1
18	31	1
18	44	-1
18	47	1
19	29	1
19	35	1
19	42	-1
20	30	-1
20	36	1
20	39	1
20	48	1
21	30	-1
21	35	1
22	25	1
22	31	1
22	34	1
22	45	-1
23	31	1
24	30	1
24	46	1
25	28	-1
27	47	1
28	42	1
29	34	1
29	37	1
29	39	-1
29	44	1
30	32	1
30	35	1
30	37	1
30	44	1
31	39	-1
31	47	-1
31	49	1
32	33	1
32	38	-1
32	39	1
33	41	1
34	36	1
34	38	1
36	45	1
38	47	1
38	49	1
40	45	-1
41	44	1
43	48	1
44	49	1
46	49	-1
